Date,Bitcoin_Price,Gold_Price,Bitcoin_Normalized,Gold_Normalized
2022-06-03,30429.88,172.58,12895.656227486546,152.61761584718784
2022-06-10,30189.25,174.54,12793.68140017799,154.35090201627168
2022-06-17,20350.48,171.27,8624.181039962707,151.45914396887162
2022-06-24,19953.71,170.09,8456.036784336991,150.41563494870888
2022-07-01,19865.7,168.32,8418.739670297071,148.8503714184648
2022-07-08,20545.61,162.3,8706.873755138366,143.52670675627874
2022-07-15,20568.9,159.01,8716.743653854304,140.61726211531658
2022-07-22,23227.22,160.67,9843.29363902191,142.08524938096923
2022-07-29,23856.25,164.1,10109.865660889096,145.11850017686595
2022-08-05,22831.85,165.29,9675.74267915413,146.1708524938097
2022-08-12,23953.77,167.87,10151.192948256134,148.452423063318
2022-08-19,23332.09,162.72,9887.735729118109,143.89812522108244
2022-08-26,21597.93,161.76,9152.828749417298,143.0491687301026
2022-09-02,20047.68,159.26,8495.85964317498,140.83834453484258
2022-09-09,19327.53,159.82,8190.672543119888,141.33356915458083
2022-09-16,20219.55,155.84,8568.695173115226,137.81393703572692
2022-09-23,19408.63,153.01,8225.041318811713,135.3112840466926
2022-09-30,19530.71,154.67,8276.776708903673,136.77927131234523
2022-10-07,19956.49,157.88,8457.214900199178,139.61796957905906
2022-10-14,19156.21,152.98,8118.070093655973,135.2847541563495
2022-10-21,19046.83,154.15,8071.716743653855,136.31941987973119
2022-10-28,20772.36,153.16,8802.966478789676,135.4439334984082
2022-11-04,20208.16,156.47,8563.868288341739,138.37106473293244
2022-11-11,15856.95,164.56,6719.900834851889,145.52529182879377
2022-11-18,16682.44,162.79,7069.729202864771,143.9600282985497
2022-11-25,16606.77,163.22,7037.661567148366,144.34029006013444
2022-12-02,16971.57,167.26,7192.257490358944,147.91298195967454
2022-12-09,16836.05,167.06,7134.826460990805,147.73611602405376
2022-12-16,17357.47,166.79,7355.795228206976,147.49734701096568
2022-12-23,16813.62,167.26,7125.321015383311,147.91298195967454
2022-12-30,16630.49,169.64,7047.713692418529,150.01768659356208
2023-01-06,16850.63,173.71,7141.005212527017,153.61690838344535
2023-01-13,18859.32,178.76,7992.253252532102,158.0827732578705
2023-01-20,20672.78,179.29,8760.766199093105,158.55146798726565
2023-01-27,23008.29,179.22,9750.514895961353,158.4895649097984
2023-02-03,23722.02,173.46,10052.981311183625,153.39582596391935
2023-02-10,21794.05,173.36,9235.941009450353,153.30739299610897
2023-02-17,24340.73,171.26,10315.17989574946,151.45030067209055
2023-02-24,23946.39,168.35,10148.065432046447,148.87690130880793
2023-03-03,23641.68,172.49,10018.934610331822,152.53802617615847
2023-03-10,20363.36,173.87,8629.639360935713,153.75840113194198
2023-03-17,24376.39,183.77,10330.291986269442,162.51326494517158
2023-03-24,28332.42,183.65,12006.788998601516,162.40714538379908
2023-03-31,28355.92,183.22,12016.747891681145,162.02688362221437
2023-04-07,28039.94,186.49,11882.841039115141,164.91864166961446
2023-04-14,29899.24,186.36,12670.780183921686,164.8036788114609
2023-04-21,28243.02,184.25,11968.902826630505,162.93774319066148
2023-04-28,28429.72,184.8,12048.023053778023,163.4241245136187
